InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
100123,P1009,USB-C Hub,2,2023-01-23,45.0,10751,Germany,90.0
100124,P1008,External SSD 1TB,1,2023-12-17,140.0,10472,UAE,140.0
100125,P1005,HD Webcam,4,2023-03-20,65.0,10708,Germany,260.0
100125,P1006,Bluetooth Speaker,4,2023-05-23,55.0,10628,Germany,220.0
100125,P1007,Gaming Mousepad,4,2023-01-28,18.75,11465,Germany,75.0
100125,P1004,Noise Cancelling Headphones,5,2023-12-28,120.0,10884,UAE,600.0
100126,P1006,Bluetooth Speaker,3,2023-09-25,55.0,10424,Netherlands,165.0
100126,P1007,Gaming Mousepad,1,2024-12-29,18.75,10205,India,18.75
100127,P1006,Bluetooth Speaker,4,2023-05-06,55.0,11822,USA,220.0
100128,P1006,Bluetooth Speaker,2,2023-10-15,55.0,10431,India,110.0
100128,P1002,USB Keyboard,5,2023-12-23,25.5,11741,UAE,127.5
100128,P1005,HD Webcam,3,2024-07-22,65.0,11577,USA,195.0
100128,P1003,Laptop Stand,4,2023-10-14,35.0,11549,Netherlands,140.0
